Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,4,Tutorial,S01
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,5,Tutorial,S02
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,6,Tutorial,C24
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,1030AM,1130AM,0,Lecture,C11
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Wednesday,0930AM,1030AM,0,Lecture,C11
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Thursday,1030AM,1130AM,0,Lecture,C11
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,1,Tutorial,LR1
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,2,Tutorial,LR2
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,3,Tutorial,LR3
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,4,Tutorial,S01
Mandatory,MTH201,Probability & Statistics - B,Angshul Majumdar,4,PS ,Monday,0900AM,1030AM,5,Tutorial,S02
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Tuesday,1030AM,1200PM,CSE,Lecture,A106
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Tuesday,1030AM,1200PM,CSAM,Lecture,B105
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Thursday,1000AM,1130AM,CSE,Lecture,A106
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Thursday,1000AM,1130AM,CSAM,Lecture,B105
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Tuesday,0800AM,0930AM,ECE,Lecture,A106
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Tuesday,0800AM,0930AM,CSD/ITSS,Lecture,B105
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Thursday,0830AM,1000AM,ECE,Lecture,A106
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Thursday,0830AM,1000AM,CSD/ITSS,Lecture,B105
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Monday,0200PM,0400PM,5,Lab,L33
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Thursday,0330PM,0530PM,3,Lab,L33
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Thursday,0330PM,0530PM,1,Lab,L32
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Thursday,0130PM,0330PM,4,Lab,L33
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Friday,0200PM,0400PM,2,Lab,L33
Mandatory,DES130,Introduction to Engineering Design - A,Aman Parnami,4,IED,Monday,0200PM,0400PM,6,Lab,L32
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Tuesday,0200PM,0400PM,2,Lab,L33
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Wednesday,0200PM,0400PM,1,Lab,L33
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Thursday,0130PM,0330PM,4,Lab,L32
Mandatory,DES130,Introduction to Engineering Design - B,Aman Parnami,4,IED,Friday,0200PM,0400PM,3,Lab,L32
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Tuesday,1200PM,0100PM,0,Lecture,C01
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Thursday,1130AM,1230PM,0,Lecture,C01
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Friday,0930AM,1030AM,0,Lecture,C01
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Tuesday,1200PM,0100PM,0,Lecture,C11
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Thursday,1130AM,1230PM,0,Lecture,C11
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Friday,0930AM,1030AM,0,Lecture,C11
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Monday,1030AM,1130AM,1,Tutorial,LR1
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Monday,1030AM,1130AM,2,Tutorial,LR2
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Monday,1030AM,1130AM,3,Tutorial,LR3
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Monday,1030AM,1130AM,4,Tutorial,S01
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Monday,0230PM,0330PM,1,Lab,SCL
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Tuesday,0400PM,0600PM,4,Lab,SCL
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Friday,0200PM,0400PM,3,Lab,SCL
Mandatory,ECE113,Basic Electronics - A,Sanat Biswas,4,BE,Thursday,0330PM,0530PM,2,Lab,SCL
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Monday,1030AM,1130AM,1 2,Tutorial,C02
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Tuesday,1030AM,1130AM,1 2,Tutorial,C11
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Tuesday,0200PM,0400PM,1(ECE),Tutorial,L32
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Tuesday,0200PM,0400PM,1(CSAM),Tutorial,SCL
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Wednesday,0200PM,0400PM,2(ECE),Tutorial,L32
Mandatory,ECE113,Basic Electronics - B,Vivek Bohara,4,BE,Wednesday,0200PM,0400PM,2(CSAM),Tutorial,SCL
Mandatory,DES1xx,Design Drawing and Visualization,Indrani De Parker,4,DDV,Tuesday,1200PM,0130PM,0,Lecture,A106
Mandatory,DES1xx,Design Drawing and Visualization,Indrani De Parker,4,DDV,Thursday,1130AM,0100PM,0,Lecture,A106
Mandatory,DES1xx,Design Drawing and Visualization,Indrani De Parker,4,DDV,Tuesday,0400PM,0530PM,0,Lecture,A106
Mandatory,DES1xx,Design Drawing and Visualization,Indrani De Parker,4,DDV,Thursday,0330PM,0500PM,0,Lecture,A106
Mandatory,SSH101,Critical Thinking and Readings in Social Science,Aasim Khan,4,CTRSS,Tuesday,1200PM,0100PM,0,Lecture,C24
Mandatory,SSH101,Critical Thinking and Readings in Social Science,Aasim Khan,4,CTRSS,Thursday,1130AM,1230PM,0,Lecture,C24
Mandatory,SSH101,Critical Thinking and Readings in Social Science,Aasim Khan,4,CTRSS,Friday,0930AM,1030AM,0,Lecture,C24
Elective,ECO101,Microeconomics,Gaurav Arora,4,ME,Monday,1130AM,0100PM,0,Lecture,A106
Elective,ECO101,Microeconomics,Gaurav Arora,4,ME,Wednesday,1130AM,0100PM,0,Lecture,A106
Mandatory,CSE202,Fundamentals of Database Systems,Vikram Goyal,4,DBMS,Tuesday,1000AM,1130AM,0,Lecture,C21
Mandatory,CSE202,Fundamentals of Database Systems,Vikram Goyal,4,DBMS,Friday,1000AM,1130AM,0,Lecture,C21
Mandatory,CSE202,Fundamentals of Database Systems,Vikram Goyal,4,DBMS,Wednesday,1000AM,1130AM,1,Tutorial,LR1
Mandatory,CSE202,Fundamentals of Database Systems,Vikram Goyal,4,DBMS,Wednesday,1000AM,1130AM,2,Tutorial,LR2
Mandatory,CSE202,Fundamentals of Database Systems,Vikram Goyal,4,DBMS,Wednesday,1000AM,1130AM,3,Tutorial,LR3
Mandatory,CSE202,Fundamentals of Database Systems,Vikram Goyal,4,DBMS,Wednesday,1000AM,1130AM,4,Tutorial,S01
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Monday,1000AM,1100AM,0,Lecture,C21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Wednesday,0900AM,1000AM,0,Lecture,C21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Thursday,1230PM,0130PM,0,Lecture,C21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Friday,1130AM,0130PM,1,Lab,L21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Friday,1130AM,0130PM,2,Lab,L22
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Friday,1130AM,0130PM,3,Lab,L23
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Monday,1100AM,0100PM,1,Lab,L21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Monday,1100AM,0100PM,2,Lab,L22
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Tuesday,1130AM,0130PM,1,Tutorial,L21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Tuesday,1130AM,0130PM,2,Tutorial,L22
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Tuesday,1130AM,0130PM,3,Tutorial,L23
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Wednesday,1130AM,0130PM,1,Tutorial,L21
Mandatory,CSE222,Algorithm Design & Analysis,Debaraka Sebgupta,4,ADA,Wednesday,1130AM,0130PM,2,Tutorial,L22
Mandatory,CSE231,Operating Systems,Sambuddho Chakravarty,4,OS,Monday,1100AM,1230PM,0,Lecture,C21
Mandatory,CSE231,Operating Systems,Sambuddho Chakravarty,4,OS,Wednesday,1130AM,0100PM,0,Lecture,C21
Mandatory,CSE231,Operating Systems,Sambuddho Chakravarty,4,OS,Thursday,1100AM,1230PM,1,Tutorial,LR1
Mandatory,CSE231,Operating Systems,Sambuddho Chakravarty,4,OS,Thursday,1100AM,1230PM,2,Tutorial,LR2
Mandatory,CSE231,Operating Systems,Sambuddho Chakravarty,4,OS,Thursday,1100AM,1230PM,3,Tutorial,LR3
Mandatory,CSE231,Operating Systems,Sambuddho Chakravarty,4,OS,Thursday,1100AM,1230PM,4,Tutorial,S01
Mandatory,CSE322,Theory of Computation,Debajyoti Bera,4,TOC,Tuesday,0400PM,0530PM,0,Lecture,C11
Mandatory,CSE322,Theory of Computation,Debajyoti Bera,4,TOC,Friday,0400PM,0530PM,0,Lecture,C11
Mandatory,CSE322,Theory of Computation,Debajyoti Bera,4,TOC,Wednesday,0230PM,0330PM,1,Tutorial,C22
Mandatory,CSE322,Theory of Computation,Debajyoti Bera,4,TOC,Wednesday,0230PM,0330PM,2,Tutorial,C23
Mandatory,CSE322,Theory of Computation,Debajyoti Bera,4,TOC,Wednesday,0230PM,0330PM,1(CSAM),Tutorial,C24
Mandatory,CSE322,Theory of Computation,Debajyoti Bera,4,TOC,Wednesday,0230PM,0330PM,2(CSAM),Tutorial,C13
Mandatory,ECE230,Fields and Waves,Shobha Sundaram,4,FW,Tuesday,1130AM,1230PM,0,Lecture,C02
Mandatory,ECE230,Fields and Waves,Shobha Sundaram,4,FW,Thursday,1130AM,1230PM,0,Lecture,C02
Mandatory,ECE230,Fields and Waves,Shobha Sundaram,4,FW,Friday,1130AM,1230PM,0,Lecture,C02
Mandatory,ECE230,Fields and Waves,Shobha Sundaram,4,FW,Monday,1130AM,1230PM,1,Tutorial,LR1
Mandatory,ECE230,Fields and Waves,Shobha Sundaram,4,FW,Monday,1130AM,1230PM,2,Tutorial,LR2
Mandatory,ECE214,Integrated Electronics,Sujay Deb,4,IE ,Tuesday,1000AM,1130AM,0,Lecture,C02
Mandatory,ECE214,Integrated Electronics,Sujay Deb,4,IE ,Friday,1000AM,1130AM,0,Lecture,C02
Mandatory,ECE214,Integrated Electronics,Sujay Deb,4,IE ,Wednesday,0930AM,1230PM,1,Lab,SCL
Mandatory,ECE214,Integrated Electronics,Sujay Deb,4,IE ,Wednesday,0930AM,1230PM,2,Lab,L32
Mandatory,ECE214,Integrated Electronics,Sujay Deb,4,IE ,Thursday,1230PM,0130PM,1,Tutorial,LR1
Mandatory,ECE214,Integrated Electronics,Sujay Deb,4,IE ,Thursday,1230PM,0130PM,2,Tutorial,LR2
Mandatory,ECE240,Principles of Communication Systems,Anand Srivastava,4,PCS,Monday,1230PM,0200PM,0,Lecture,C02
Mandatory,ECE240,Principles of Communication Systems,Anand Srivastava,4,PCS,Thursday,1000AM,1100AM,0,Lecture,C02
Mandatory,ECE240,Principles of Communication Systems,Anand Srivastava,4,PCS,Tuesday,1230PM,0130PM,1,Tutorial,LR2
